POLYMER_NAME,SMILES,NumHeavyAtoms,NumHeteroatoms,FractionCSP3,NumAliphaticRings,NumAromaticRings,RadiusOfGyration,Asphericity,Eccentricity,LabuteASA,BalabanJ,BertzCT,MaxPartialCharge,MinPartialCharge,HeavyAtomMolWt,NHOHCount,NOCount
HDPE,CC,2,0,1,0,0,0.969521755688824,0.422160876870025,0.96442026421949,23.534016143233,4.0203915431768,61.5097750043269,0.0227541278068639,-0.0682623834205916,24.022,0,0
LDPE,CCC,3,0,1,0,0,1.27627297682049,0.407496703104758,0.964561279693376,32.7088992579653,4.74840857792517,120.396610346116,0.026088795673383,-0.0656454412102396,36.033,0,0
LLDPE,CCCC,4,0,1,0,0,1.5211477963024,0.344391987569722,0.951933998026198,41.8837823726975,5.30008207760757,181.142337985895,0.0263606585654242,-0.0653924428808517,48.044,0,0
UHMWPE,CCCCC,5,0,1,0,0,1.86477636645916,0.553220218355761,0.983299769223409,51.0586654874298,5.73322877593601,250.251563546022,0.0266327680689745,-0.0653825553793841,60.055,0,0
SAN,C=CC#N,4,1,0,0,0,1.44502153702751,0.744939512888579,0.995588902952229,29.3870234064107,4.07280502921978,127.605671048261,0.0905313753738047,-0.193121260786728,50.04,0,1
ASA,C=CC#N,4,1,0,0,0,1.44502153702751,0.744939512888579,0.995588902952229,29.3870234064107,4.07280502921978,127.605671048261,0.0905313753738047,-0.193121260786728,50.04,0,1
COC,C1OC1,3,1,1,1,0,0.933810694471324,0.12914732283656,0.830679033931552,24.8317892188751,2.59293673809222,85.8629171260716,0.0701143954655702,-0.376667636073453,40.021,0,1
COP,C1COC1,4,1,1,1,0,1.14800407433723,0.157485870408255,0.828721340050016,34.0066723336073,2.8478323642277,146.375863953239,0.0567433204775858,-0.381271922114172,52.032,0,1
PC-ABS,C=CC1=CC=CC=C1,8,0,0,0,1,2.02229813933812,0.466022093751802,0.972797263286926,60.7114483174485,3.72040897332558,442.412033906076,0.0629015791310043,-0.0984700500401651,96.088,0,0
TPE,CCOCCO,6,2,1,0,0,2.15711561003494,0.799033720114382,0.997377195972123,51.8782316125277,4.98639815164083,243.693809390136,0.210155630064083,-0.393980344880252,80.042,1,2
TPO,CCCCO,5,1,1,0,0,1.68430888303002,0.335986047820795,0.948185890137465,46.7646863830208,5.37946401332549,228.067112469663,0.210036533002203,-0.396376752069211,64.043,1,1
PCL,OCCCCCC(=O)O,9,3,0.833333333333333,0,0,2.58826011957296,0.482467786928976,0.975594987402176,71.3469377225166,6.06226164748811,403.796944384922,0.302839568636333,-0.481230389753162,120.063,2,3
PBS,OCCCC(=O)OCCCC(=O)O,13,5,0.75,0,0,3.51531240078452,0.692819812998408,0.993148275489656,96.1618302811961,5.93855611675209,586.056738056263,0.305366483381707,-0.481228808922067,176.083,2,5
