POLYMER_NAME,SMILES,ElasticModulus,Volume_Surface_Ratio,Shape_Normalized,Flexibility_Index,Mass_Density,Polarity_Index,Hydrophobicity_Balance,Refractivity_Efficiency,Connectivity_Density,Topological_Size_Ratio,Surface_Stiffness_Ratio
TPE,CCOCCO,15.0203333333333,2.95869993434012,6,0.5,3.66665581720833,4.91,0.00380000000000001,0.258760782247975,0.833333333333333,0,7.365
TPO,CCCCO,14.8246,3.49142722562412,5,0.4,3.22360810305387,4.046,0.2596,0.292770523008932,0.8,0,6.74333333333333
PCL,OCCCCCC(=O)O,14.6843333333333,2.25797027165556,9,0.555555555555556,3.86547371130403,6.39222222222222,0.12474,0.249247891618291,0.888888888888889,0,9.58833333333333
PBS,OCCCC(=O)OCCCC(=O)O,14.6303846153846,2.24207238005423,13,0.538461538461538,4.21264446738105,6.44846153846154,0.0238428571428571,0.230908758074218,0.923076923076923,0,10.47875
PBAT,OCCCC(=O)OCC1=CC=CC=C1C(=O)O,14.0140588235294,2.80842862194978,8.5,0.333333333333333,3.93672201741326,4.93117647058824,0.1715,0.248776746266286,1,0.0588235294117647,11.9757142857143
PLA_Blends,CC(O)C(=O)OCC,14.7665,2.48541973490427,8,0.25,4.02991082698252,5.81625,-0.01394,0.237667461303428,0.875,0,15.51
PEKK,O=C1C=CC(=O)C=C1OC2=CC=CC=C2,13.3462,4.51189993238675,5,0.117647058823529,3.61966839640552,2.89133333333333,0.414325,0.269924897983528,1.06666666666667,0.133333333333333,14.4566666666667
PSF,O=S(=O)(c1ccccc1)c2ccccc2,14.5518,6.21163915765509,5,0.117647058823529,3.67867290910378,2.276,0.8398,0.266037021666659,1.06666666666667,0.133333333333333,11.38
PBI,C1=NC2=CC=CC=C2N1,13.1265555555556,3.98042452830189,3,0,3.18488045139741,3.18666666666667,0.520966666666667,0.302954532101159,1.11111111111111,0.222222222222222,28.68
PBO,C1=NC2=CC=CC=C2O1,13.2358888888889,4.4070662227155,3,0,3.40263932131737,2.89222222222222,0.609266666666667,0.28311813724266,1.11111111111111,0.222222222222222,26.03
PI,O=C1NC(=O)C2=CC=CC=C2O1,13.5943333333333,2.54615264554394,4,0,3.69874412477582,5.25583333333333,0.09626,0.262622157775449,1.08333333333333,0.166666666666667,63.07
PAA,CC(=O)O,15.013,1.56793733681462,4,0,4.19656459209772,9.325,0.0303,0.218007600078622,0.75,0,37.3
PAN,C=CC#N,13.266,2.14054054054054,4,0,3.15669244497323,5.9475,0.34799,0.292431192660551,0.75,0,23.79
PVAc,CC(=O)OCC,14.6843333333333,3.22732600732601,6,0.166666666666667,3.78023769682928,4.38333333333333,0.1898,0.250342288959217,0.833333333333333,0,13.15
PHEMA,CC(O)CO,15.219,1.83538350217077,5,0.2,3.84967571560106,8.092,-0.1281,0.243421752383423,0.8,0,20.23
PEG,OCCO,15.517,1.49705740472745,4,0.25,4.09106488438925,10.115,-0.2058,0.224703494640705,0.75,0,20.23
PEO,OCCOCC,15.0203333333333,2.95869993434012,6,0.5,3.66665581720833,4.91,0.00379999999999997,0.258760782247975,0.833333333333333,0,7.365
PVP,C1=CC=CN=C1,13.1836666666667,5.69488840892729,3,0,3.13436620834489,2.14833333333333,0.5408,0.302576714688772,1,0.166666666666667,12.89
PVK,C1=CC=CC=N1,13.1836666666667,5.69488840892729,3,0,3.13436620834489,2.14833333333333,0.5408,0.302576714688772,1,0.166666666666667,12.89
PANI,C1=CC=CC=N1C,,,,,,,,,,,
PEDOT,C1=CSC=C1O,16.6903333333333,4.71700423928403,3,0,3.71118967676902,3.37166666666667,0.363425,0.256904154554982,1,0.166666666666667,20.23
PMI,C1=NC(=O)C=CN1,13.727,2.05537967914439,3.5,0,3.71606910127351,6.53571428571429,-0.057525,0.256030034298427,1,0.142857142857143,45.75
PBTL,OCCCCCC(=O)O,14.6843333333333,2.25797027165556,9,0.555555555555556,3.86547371130403,6.39222222222222,0.12474,0.249247891618291,0.888888888888889,0,9.58833333333333
PHB,CC(O)C(=O)OCC,14.7665,2.48541973490427,8,0.25,4.02991082698252,5.81625,-0.01394,0.237667461303428,0.875,0,15.51
PHBV,CC(O)C(=O)OCCC,14.6843333333333,2.78053860719546,9,0.333333333333333,3.89495679441687,5.17,0.06408,0.247304350438198,0.888888888888889,0,11.6325
PLA_Copolymer,CC(O)C(=O)OCCC,14.6843333333333,2.78053860719546,9,0.333333333333333,3.89495679441687,5.17,0.06408,0.247304350438198,0.888888888888889,0,11.6325
PET_Copolymer,OCCOC(=O)C1=CC=CC=C1,13.848,3.49623395750053,6,0.230769230769231,3.70843310578148,3.8775,0.16714,0.262060941761976,1,0.0833333333333333,11.6325
Nylon_Copolymer,NCCCC(=O)NCCCC,14.3859090909091,2.8197612259444,11,0.545454545454545,3.35221507389935,5.01090909090909,0.12832,0.29015730478194,0.909090909090909,0,7.87428571428572
TPU_Elastic,O=C(NCCCCN)OCCO,14.6846666666667,2.05907922411778,12,0.5,3.85383018880304,7.04833333333334,-0.069525,0.252375067713976,0.916666666666667,0,12.0828571428572
Silicone_PDMS,[Si](C)(C)O,18.79075,3.54041450777202,4,0,3.63092247642603,5.0575,0.0766,0.258666281527776,0.75,0,20.23
Epoxy,C1OC1C2=CC=CC=C2,13.3501111111111,8.88033998521803,3,0.0909090909090909,3.32505880725059,1.39222222222222,0.87895,0.290009987536215,1.11111111111111,0.222222222222222,6.265
Phenolic,C1=CC=C(O)C=C1,13.4447142857143,4.43301931229392,3.5,0,3.23336814764935,2.89,0.464066666666667,0.295509551796285,1,0.142857142857143,20.23
Melamine_Formaldehyde,C1=NC(N)=NC(N)=N1,13.8885,1.21151455675499,4,0,3.74709123898043,11.33875,-0.1205,0.255573197274057,1,0.125,90.71
Urea_Formaldehyde,NC(=O)N,15.014,0.856596776494081,4,0,4.06585966907683,17.2775,-0.24405,0.225543763102725,0.75,0,69.11
Polyimide_Modified,O=C1NC(=O)C2=CC=CC=C2,,,,,,,,,,,
Polyamide_12,NCCCCCCCCCCCC(=O)O,14.3558,3.34790111940298,15,0.733333333333333,3.37200635137378,4.22133333333333,0.58614,0.290566107508194,0.933333333333333,0,5.27666666666667
Polyamide_11,NCCCCCCCCCCC(=O)O,14.3792857142857,3.12981965174129,14,0.714285714285714,3.39802711534826,4.52285714285714,0.50812,0.287890860560526,0.928571428571429,0,5.75636363636364
Polyamide_6_10,NCCCCCC(=O)NCCCCCCCCCC(=O)O,14.3068095238095,3.21604581460073,21,0.714285714285714,3.48930768525003,4.40095238095238,0.403871428571429,0.282321699293067,0.952380952380952,0,5.77625
Polyamide_4_6,NCCCC(=O)NCCCCCC(=O)O,14.4187333333333,2.31514664953971,15,0.6,3.70332129605372,6.16133333333333,0.0695,0.264182786345792,0.933333333333333,0,9.242
Polycarbonate_Mod,O=C(Oc1ccccc1)OCC,13.848,4.54902819600328,6,0.153846153846154,3.68526567905615,2.96083333333333,0.555475,0.263745992247691,1,0.0833333333333333,11.8433333333333
PET_Recycled,OCCOC(=O)C1=CC=CC=C1C(=O)O,14.0123333333333,2.4777201461747,7.5,0.25,4.06000819013475,5.58866666666667,0.0762714285714286,0.240403437744158,1,0.0666666666666667,16.766
PLA_Reinforced,CC(O)C(=O)OCCO,14.9034444444444,1.97950118063754,9,0.333333333333333,4.36544770484547,7.41777777777778,-0.156757142857143,0.219976171270841,0.888888888888889,0,16.69
