POLYMER_NAME,SMILES,MolWt,LogP,TPSA,HDonors,HAcceptors,RotatableBonds,ValenceElectrons,HeavyAtoms,RingCount,FractionCSP3,AliphaticRings,AromaticRings,SaturatedRings,AliphaticCarbocycles,AromaticCarbocycles,SaturatedCarbocycles,AliphaticHeterocycles,AromaticHeterocycles,SaturatedHeterocycles,RadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,BalabanJ,BertzCT,Chi0,Chi1,Kappa1,Kappa2
PBT,OCCOC(=O)C1=CC=CC=C1C(=O)OCC,238.23899999999995,1.0124,72.83,1.0,5.0,5.0,92.0,17.0,1.0,0.3333333333333333,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3385902703099528,-0.4623724219382187,0.4623724219382187,0.3385902703099528,2.9080690228103045,399.6373910764977,12.673362107437434,8.201907262607799,13.18613756613757,6.6485446683356395
POM,CO,32.042,-0.3915,20.23,1.0,1.0,0.0,14.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031940683717728124,-0.3996302435573072,0.3996302435573072,0.031940683717728124,1.0,2.0,2.0,1.0,1.96,0.9600000000000016
PPS,C1=CC=C(S)C=C1,110.18099999999997,1.9752999999999996,0.0,1.0,1.0,0.0,36.0,7.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.003992005065301783,-0.14342689229770952,0.14342689229770952,0.003992005065301783,3.0214653097240856,134.10736969541455,5.112884175122364,3.393846850117352,4.7222070015220705,2.0299990576722062
PSU,O=S(=O)(c1ccccc1)c2ccccc2,218.277,2.519400000000001,34.14,0.0,2.0,2.0,76.0,15.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.20608662635002495,-0.21851432551830632,0.21851432551830632,0.20608662635002495,2.5505014056299604,484.8495069839023,10.72576835024473,7.210343431045078,9.926624682900304,3.86619987968792
PES,O=S(=O)(c1ccc(cc1))c2ccc(cc2),218.277,2.519400000000001,34.14,0.0,2.0,2.0,76.0,15.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.20608662635002495,-0.21851432551830632,0.21851432551830632,0.20608662635002495,2.5505014056299604,484.8495069839023,10.72576835024473,7.210343431045078,9.926624682900304,3.86619987968792
PA11,NCCCCCCCCCCC(=O)O,201.30999999999997,2.5406000000000004,63.32000000000001,2.0,2.0,10.0,84.0,14.0,0.0,0.9090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3028395565321837,-0.481230389785217,0.481230389785217,0.3028395565321837,2.884064614706359,137.24922110379617,10.648418081055103,6.770055610029663,13.43,10.510450522928398
PA12,NCCCCCCCCCCCC(=O)O,215.33699999999996,2.9307000000000007,63.32000000000001,2.0,2.0,11.0,90.0,15.0,0.0,0.9166666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3028395565321837,-0.481230389785217,0.481230389785217,0.3028395565321837,2.8946809694676436,148.55754552798547,11.355524862241651,7.270055610029663,14.429999999999998,11.50446016381236
HDPE,CC,30.07,1.0262,0.0,0.0,0.0,0.0,14.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06826238342059164,-0.06826238342059164,0.06826238342059164,0.06826238342059164,1.0,0.0,2.0,1.0,2.0,0.0
LDPE,CCC,44.096999999999994,1.4163,0.0,0.0,0.0,0.0,20.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.059038363929048716,-0.06564544121023959,0.06564544121023959,0.059038363929048716,1.6329931618554523,0.0,2.7071067811865475,1.4142135623730951,3.0,2.0
LLDPE,CCCC,58.123999999999995,1.8064,0.0,0.0,0.0,1.0,26.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05643437041758633,-0.06539244288085166,0.06539244288085166,0.05643437041758633,1.9747448713915894,2.0,3.414213562373095,1.914213562373095,4.0,3.0
UHMWPE,CCCCC,72.151,2.1965000000000003,0.0,0.0,0.0,2.0,32.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05383131543183678,-0.06538255537938412,0.06538255537938412,0.05383131543183678,2.19060968716425,7.5097750043269365,4.121320343559642,2.414213562373095,5.0,4.0
SAN,C=CC#N,53.06399999999999,0.6959799999999999,23.79,0.0,1.0,0.0,20.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09053137537380465,-0.19312126078672762,0.19312126078672762,0.09053137537380465,2.9217836800202113,48.793987519471216,3.414213562373095,1.914213562373095,3.2299999999999995,2.23
ASA,C=CC#N,53.06399999999999,0.6959799999999999,23.79,0.0,1.0,0.0,20.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09053137537380465,-0.19312126078672762,0.19312126078672762,0.09053137537380465,2.9217836800202113,48.793987519471216,3.414213562373095,1.914213562373095,3.2299999999999995,2.23
COC,C1OC1,44.053,0.01660000000000006,12.53,0.0,1.0,0.0,18.0,3.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.07011439546557022,-0.37666763607345255,0.37666763607345255,0.07011439546557022,2.25,7.509775004326937,2.121320343559643,1.5,1.297837837837838,0.20616508400292186
COP,C1COC1,58.07999999999999,0.40670000000000006,9.23,0.0,1.0,0.0,24.0,4.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.048750503369774996,-0.3812719221141719,0.3812719221141719,0.048750503369774996,2.0,11.245112497836532,2.8284271247461903,2.0,2.212525252525253,0.72512600755025
PC-ABS,C=CC1=CC=CC=C1,104.15199999999997,2.3296,0.0,0.0,0.0,1.0,40.0,8.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.02625578937784246,-0.09847005004016512,0.09847005004016512,0.02625578937784246,2.9910469146846212,162.65300142116237,5.819990956308912,3.931851652578137,5.10367816091954,2.3141072195146584
TPE,CCOCCO,90.122,0.015200000000000047,29.46,1.0,2.0,3.0,38.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06970519849679675,-0.39398034488025224,0.39398034488025224,0.06970519849679675,2.3390923149762908,17.509775004326936,4.82842712474619,2.914213562373095,5.92,4.920000000000001
TPO,CCCCO,74.12299999999999,0.7787999999999999,20.23,1.0,1.0,2.0,32.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043042283485206966,-0.39637675206921097,0.39637675206921097,0.043042283485206966,2.19060968716425,11.119415478763749,4.121320343559642,2.414213562373095,4.960000000000001,3.9600000000000004
PCL,OCCCCCC(=O)O,132.15900000000002,0.6236999999999999,57.53,2.0,2.0,5.0,54.0,9.0,0.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3028395686363328,-0.4812303897531619,0.4812303897531619,0.3028395686363328,2.8288681349096856,80.37215811651096,7.112884175122364,4.270055610029662,8.43,5.564589502018842
PBS,OCCCC(=O)OCCCC(=O)O,190.19499999999996,0.1669,83.83,2.0,4.0,7.0,76.0,13.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3053664833817065,-0.4812288089220668,0.4812288089220668,0.3053664833817065,3.2158709613055105,165.91732137225364,10.104448006685086,6.163902460147014,11.9,7.544022314808277
PBAT,OCCCC(=O)OCC1=CC=CC=C1C(=O)O,238.239,1.2005000000000001,83.83,2.0,4.0,6.0,92.0,17.0,1.0,0.3333333333333333,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.33559343202941294,-0.47763034428584406,0.47763034428584406,0.33559343202941294,2.568575143561294,399.6373910764977,12.673362107437434,8.147065707741408,13.18613756613757,6.6485446683356395
PLA_Blends,CC(O)C(=O)OCC,118.13199999999999,-0.0697000000000001,46.53,1.0,3.0,2.0,48.0,8.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33414768930295624,-0.464078219287178,0.464078219287178,0.33414768930295624,3.329150037184473,77.74296763342026,6.568914100752347,3.6807392125526213,7.43,3.43425867993602
PEKK,O=C1C=CC(=O)C=C1OC2=CC=CC=C2,200.193,1.6573,43.370000000000005,0.0,3.0,2.0,74.0,15.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2208032731949418,-0.45311493855203844,0.45311493855203844,0.2208032731949418,2.1938994529567974,455.0153928402041,10.673362107437434,7.2540201954234895,9.3971519262254,3.9196606578585556
PSF,O=S(=O)(c1ccccc1)c2ccccc2,218.277,2.519400000000001,34.14,0.0,2.0,2.0,76.0,15.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.20608662635002495,-0.21851432551830632,0.21851432551830632,0.20608662635002495,2.5505014056299604,484.8495069839023,10.72576835024473,7.210343431045078,9.926624682900304,3.86619987968792
PBI,C1=NC2=CC=CC=C2N1,118.13899999999997,1.5628999999999997,28.68,1.0,1.0,0.0,44.0,9.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.09313706243735365,-0.3445965870845696,0.3445965870845696,0.09313706243735365,2.9546597902851044,280.89393676634353,6.104448006685086,4.4663264951887856,4.5576295518439105,1.584972123454423
PBO,C1=NC2=CC=CC=C2O1,119.12299999999996,1.8277999999999999,26.03,0.0,2.0,0.0,44.0,9.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.18147807500205673,-0.44348137443298613,0.44348137443298613,0.18147807500205673,2.9546597902851044,282.89393676634353,6.104448006685086,4.4663264951887856,4.5576295518439105,1.584972123454423
PI,O=C1NC(=O)C2=CC=CC=C2O1,163.13199999999998,0.4813000000000001,63.07,1.0,3.0,0.0,60.0,12.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.41911453713556623,-0.4091815673819218,0.41911453713556623,0.4091815673819218,3.0939322696636298,523.3042779533675,8.55204176387779,5.770856947829096,6.844729127323647,2.3355710224487796
PAA,CC(=O)O,60.05200000000001,0.09089999999999993,37.3,1.0,1.0,0.0,24.0,4.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2996845531582142,-0.481433475172105,0.481433475172105,0.2996845531582142,2.8030394876740514,27.019550008653873,3.5773502691896257,1.7320508075688772,3.4699999999999998,0.8748582995951415
