SAMPLE,SMILES,NumHeavyAtoms,NumHeteroatoms,FractionCSP3,NumAliphaticRings,NumAromaticRings,RadiusOfGyration,Asphericity,Eccentricity,LabuteASA,BalabanJ,BertzCT,MaxPartialCharge,MinPartialCharge,HeavyAtomMolWt,NHOHCount,NOCount
Polymer_40,CC(C)(C)C(=O)ONC,9,3,0.833333333333333,0,0,2.24234992592676,0.360153263855829,0.955029331534636,73.6656027468692,6.1772677174018,378.168051826233,0.329457086300482,-0.370388793718543,118.071,1,3
Polymer_41,C=CC(=O)OO,6,3,0,0,0,1.72471248435586,0.392285306010767,0.959349920183978,40.484680880722,4.08776916286101,161.130751455403,0.364563081901341,-0.29621714451847,84.03,1,3
Polymer_42,C=CC(=O)ON,6,3,0,0,0,1.73695191106775,0.386626892214868,0.958426976209534,42.4894945157956,4.16503910388317,186.166551585118,0.348120683677909,-0.370089398762364,82.038,2,3
Polymer_43,C=CC(=O)OF,6,3,0,0,0,1.72407813854883,0.408128646160266,0.962744022803554,38.3355384264879,4.20697683334679,151.136850060577,0.371309504825359,-0.250066674455093,87.029,0,2
Polymer_44,C=CC(=O)OCl,6,3,0,0,0,1.88484211232644,0.523183357631247,0.980154187090106,44.7451221955009,4.20697683334679,151.136850060577,0.347932843438102,-0.343719587836157,103.484,0,2
Polymer_45,C=CC(=O)OC,6,2,0.25,0,0,1.75261133692927,0.381811680188706,0.957618350233935,44.8493646693927,4.35802372794449,212.078200034616,0.329362026835124,-0.46586658161962,80.042,0,2
Polymer_46,C=CC(=O)OCO,7,3,0.25,0,0,2.01809718107486,0.436442746093688,0.968407727019641,49.7302686797159,4.41927449497175,232.03386331808,0.331743645799104,-0.435535683248414,96.041,1,3
Polymer_47,C=CC(=O)OCN,7,3,0.25,0,0,2.03316756430662,0.437002416057357,0.968508410883548,51.7103391310499,4.56875052010716,258.415409571231,0.330946096659892,-0.446824920157139,94.049,2,3
Polymer_48,C=CC(=O)OCF,7,3,0.25,0,0,2.02686928179151,0.45137617525985,0.970750785815433,47.6099295721511,4.35802372794449,215.978334564506,0.33197346637962,-0.430575469875126,99.04,0,2
Polymer_49,C=CC(=O)OOC,7,3,0.25,0,0,2.05563641317843,0.657712357591453,0.991357183888251,49.8922052146379,4.12239671712968,226.524088313753,0.364830601480941,-0.293822410398393,96.041,0,3
Polymer_50,C=CC(=O)ONC,7,3,0.25,0,0,2.00000273770807,0.423326768455496,0.966176361987817,51.8162924848848,4.43388677983039,254.905634566904,0.34832079997921,-0.367484469736513,94.049,1,3
Polymer_51,CCOC(=O)CO,7,3,0.75,0,0,2.00360852547567,0.5086671210505,0.978695454690754,53.2298127122358,4.69546255484086,244.761561770974,0.331274868138723,-0.464282967363092,96.041,1,3
Polymer_52,CCOC(=O)CN,7,3,0.75,0,0,2.01627034409959,0.501072244676134,0.977816692426459,55.2098831635697,4.83474278718989,271.172775617918,0.319182260988304,-0.465037841949045,94.049,2,3
Polymer_53,CCOC(=O)CF,7,3,0.75,0,0,2.00911133659593,0.524161034727861,0.980391763858406,51.109473604671,4.62336659939654,228.824743934486,0.337028601289608,-0.464051468782216,99.04,0,2
Polymer_54,CCOC(=O)CCl,7,3,0.75,0,0,2.16818186163672,0.587620888981553,0.986311953761074,57.2472044286264,4.62336659939654,228.824743934486,0.320362805271167,-0.46509472173016,115.495,0,2
Polymer_55,CCOC(=O)CC,7,2,0.8,0,0,2.02436522033213,0.488268975300447,0.976257893848619,57.5237918166448,5.02485992068124,298.798568113278,0.304986319783951,-0.465976730697997,92.053,0,2
Polymer_56,CCOC(=O)CCO,8,3,0.8,0,0,2.35157038598149,0.629883834646631,0.989499123868491,62.404695826968,5.11245172066253,319.965066096161,0.307602806383103,-0.465906351872487,108.052,1,3
Polymer_57,CCOC(=O)CCN,8,3,0.8,0,0,2.36074590032047,0.626706758811638,0.989277489707714,64.384766278302,5.24671596570803,347.484932676677,0.306553022098506,-0.465934093701245,106.06,2,3
Polymer_58,CCOC(=O)CCF,8,3,0.8,0,0,2.36423752991156,0.639782635674478,0.990156697328334,60.2843567194032,5.02485992068124,303.488524049171,0.307926754400421,-0.46589969060279,111.051,0,2
Polymer_59,CCOC(=O)COC,8,3,0.8,0,0,2.1961935717025,0.531964698253658,0.980960022790818,62.6373370461517,4.88092028325807,314.455291091834,0.331550967604363,-0.464276065873277,108.052,0,3
Polymer_60,CCOC(=O)CNC,8,3,0.8,0,0,2.26721908957586,0.480088251531429,0.97489674363199,64.536681132659,5.13719013674229,343.97515767235,0.319395378985061,-0.465032316745288,106.06,1,3
Polymer_61,C(F)(F)C(F)(F)O,7,5,1,0,0,1.62059028342413,0.101388875724747,0.826126183734325,39.45717976459,4.14472636674476,99.2309826803223,0.413559243828015,-0.331791617801918,116.013,1,1
Polymer_62,C(F)(F)C(F)(F)N,7,5,1,0,0,1.6363743471113,0.103259176284393,0.828346814565711,41.4372502159239,4.40381796660692,120.161336310639,0.3596409604628,-0.267029875682502,114.021,2,1
Polymer_63,C(F)(F)C(F)(F)F,7,5,1,0,0,1.61351810171342,0.104282042384057,0.829306018430224,37.3368406570252,4.0203915431768,65.4099095342171,0.449702715639135,-0.200053860121802,119.012,0,0
Polymer_64,C(F)(F)C(F)(F)Cl,7,5,1,0,0,1.72065432195485,0.144879892645091,0.867294124640518,43.4745714809806,4.0203915431768,69.0195500086539,0.380825207842695,-0.201992468196637,135.467,0,0
Polymer_65,C(F)(F)C(F)(F)C,7,4,1,0,0,1.65274033433238,0.100255926232437,0.824557141130248,43.751158868999,4.74840857792517,128.396610346116,0.304298182353103,-0.203602458681097,112.025,0,0
Polymer_66,C(F)(F)C(F)(F)CO,8,5,1,0,0,1.79541800882873,0.0973145686335019,0.820998991436481,48.6320628793222,4.8470218212168,166.17613301302,0.329387072397122,-0.389874900588898,128.024,1,1
Polymer_67,C(F)(F)C(F)(F)CN,8,5,1,0,0,1.79195768237794,0.116306716854697,0.834293957103064,50.6121333306562,5.03984712862823,188.708745111615,0.318870912768175,-0.325041238111992,126.032,2,1
Polymer_68,C(F)(F)C(F)(F)CF,8,5,1,0,0,1.79579800272897,0.101623429107233,0.826096689093181,46.5117237717574,4.74840857792517,128.032082369516,0.334599100972539,-0.244231399031879,131.023,0,0
Polymer_69,C(F)(F)C(F)(F)OC,8,5,1,0,0,1.77585994685166,0.122917976881816,0.848044915184495,48.8647040985058,4.4439368772856,160.666358008693,0.415734678789742,-0.319324911732851,128.024,0,1
Polymer_70,C(F)(F)C(F)(F)NC,8,5,1,0,0,1.78188335092242,0.119636468774686,0.839027666543402,50.7640481850132,4.85716252570436,185.198970107288,0.361816468026389,-0.256291103092222,126.032,1,1
Polymer_71,CC(F)C(F)O,6,3,1,0,0,1.60545143084087,0.141956738874365,0.865166171687669,43.1109330738054,4.8470218212168,164.666358008693,0.227201746156625,-0.361854567350952,90.028,1,1
Polymer_72,CC(F)C(F)N,6,3,1,0,0,1.67816918889771,0.238562764760066,0.908971492878738,45.0910035251393,5.03984712862823,186.666901131649,0.179344447069729,-0.299272544101886,88.036,2,1
Polymer_73,CC(F)C(F)F,6,3,1,0,0,1.60672549228238,0.150930266181979,0.872014110175646,40.9905939662406,4.74840857792517,128.032082369516,0.268538010909717,-0.241511866956017,93.027,0,0
Polymer_74,CC(F)C(F)Cl,6,3,1,0,0,1.74582463550872,0.252377398244667,0.924126161813755,47.128324790196,4.74840857792517,130.786969871679,0.203573660168989,-0.243190641214581,109.482,0,0
Polymer_75,CC(F)C(F)C,6,2,1,0,0,1.6593340573848,0.14418026812322,0.86631700182641,47.4049121782144,5.30008207760757,188.361618934768,0.12807805509323,-0.244610935684584,86.04,0,0
Polymer_76,CC(F)C(F)CO,7,3,1,0,0,1.8647159042742,0.240296896412965,0.920011993314626,52.2858161885376,5.37946401332549,235.286393418537,0.210185868759778,-0.393237549340868,102.039,1,1
Polymer_77,CC(F)C(F)CN,7,3,1,0,0,1.88728466248825,0.23049164057701,0.916368443273186,54.2658866398716,5.52936731854528,258.72482509952,0.142978556447019,-0.327668088602925,100.047,2,1
Polymer_78,CC(F)C(F)CF,7,3,1,0,0,1.79199871407931,0.111857748345278,0.811420524066298,50.1654770809728,5.30008207760757,189.955246978201,0.158998862301941,-0.247788426775332,105.038,0,0
Polymer_79,CC(F)C(F)OC,7,3,1,0,0,1.83550565891105,0.311316315980191,0.942538674401507,52.5184574077212,5.02982007318164,229.77661841421,0.229374710787553,-0.34926487441713,102.039,0,1
Polymer_80,CC(F)C(F)NC,7,3,1,0,0,1.88645893418722,0.314696485078852,0.942924851811554,54.4178014942286,5.36728830093608,255.215050095193,0.181571333948046,-0.288407249866778,100.047,1,1
Polymer_81,C1=CC=CN=C1O,7,2,0,0,1,1.71509155386046,0.358637345811555,0.950832918389571,48.5568076116058,3.38704632901177,315.197156012902,0.294831699755058,-0.493268447785082,90.061,1,2
Polymer_82,C1=CC=CN=C1N,7,2,0,0,1,1.72874710597774,0.35690263544358,0.950334704292613,50.5368780629398,3.40850886675839,338.28676300109,0.157745849398,-0.38370281263385,88.069,2,2
Polymer_83,C1=CC=CN=C1F,7,2,0,0,1,1.70865477677288,0.366358692404951,0.952972177388211,46.436468504041,3.45554648381778,274.774158752026,0.212283632606358,-0.228339100141914,93.06,0,1
Polymer_84,C1=CC=CN=C1Cl,7,2,0,0,1,1.90151213943301,0.503556554032197,0.977856026837321,52.5741993279964,3.45554648381778,274.774158752026,0.128505307655541,-0.244583591017359,109.515,0,1
Polymer_85,C1=CC=CN=C1C,7,1,0.166666666666667,0,1,1.74251313744961,0.346699820348198,0.948309445179934,52.8507867160148,3.4890234930775,369.423261134311,0.0839901880012513,-0.261612424944918,86.073,0,1
Polymer_86,C1=CC=CN=C1CO,8,2,0.166666666666667,0,1,1.97054752539106,0.413194195797539,0.965659883609309,57.731690726338,3.45260666542586,393.55706663753,0.210605916764193,-0.390063967395768,102.072,1,2
Polymer_87,C1=CC=CN=C1CN,8,2,0.166666666666667,0,1,1.97463266104973,0.398027115414913,0.963029948246109,59.711761177672,3.47465550916477,417.479829283868,0.118765003229529,-0.325213252356391,100.08,2,2
Polymer_88,C1=CC=CN=C1CF,8,2,0.166666666666667,0,1,1.97686210316326,0.427848372330577,0.968076578438323,55.6113516187732,3.4890234930775,373.564970584387,0.131406005383459,-0.258518785481987,105.071,0,1
Polymer_89,C1=CC=CN=C1OC,8,2,0.166666666666667,0,1,1.9720976362896,0.466759403255239,0.973080971087943,57.9643319455217,3.20996038273365,388.047291633203,0.212365610864473,-0.480984038361633,102.072,0,2
Polymer_90,C1=CC=CN=C1NC,8,2,0.166666666666667,0,1,1.99553354262938,0.462674199416447,0.972477485872558,59.863676032029,3.36475474672689,413.970054279541,0.161230854583963,-0.373152298868742,100.08,1,2
Polymer_91,CCN(CC)CCO,8,2,1,0,0,2.20306137520512,0.190869372819372,0.871950799969317,72.2792567828564,6.61169421019275,394.663488633192,0.210103351079591,-0.395044574025786,102.072,1,2
Polymer_92,CCN(CC)CCN,8,2,1,0,0,2.2741354851264,0.245864819086827,0.919383336761498,74.2593272341904,6.7244774829637,418.464438517743,0.118433402929671,-0.329198543867595,100.08,2,2
Polymer_93,CCN(CC)CCF,8,2,1,0,0,2.27139497587479,0.259042552054966,0.924945212845071,70.1589176752916,6.53393457016215,339.213262227037,0.102081463560509,-0.301291638426835,105.071,0,1
Polymer_94,CCN(CC)CCCl,8,2,1,0,0,2.47712869860594,0.38774419638917,0.96099174634642,76.296648499247,6.53393457016215,339.213262227037,0.04486665803255,-0.302702774185982,121.526,0,1
Polymer_95,CCN(CC)CCC,8,1,1,0,0,2.28379453486925,0.242207713830537,0.917948006810862,76.5732358872654,6.86727112814336,450.695505645399,0.043046122956663,-0.303896249668793,98.084,0,1
Polymer_96,CCN(CC)CCCO,9,2,1,0,0,2.30483960305287,0.230458681067879,0.914288496989835,81.4541398975886,6.91706032613014,476.221229864601,0.210037644492726,-0.396325946227123,114.083,1,2
Polymer_97,CCN(CC)CCCN,9,2,1,0,0,2.51589498144861,0.338869014665645,0.950717759144733,83.4342103489226,6.99902135971067,500.808678138626,0.118380038831049,-0.330424586290815,112.091,2,2
Polymer_98,CCN(CC)CCCF,9,2,1,0,0,2.28150762864453,0.224538523979953,0.909921078876518,79.3338007900238,6.86727112814336,456.182373946655,0.0906191878181342,-0.303789513415278,117.082,0,1
Polymer_99,CCN(CC)CCOC,9,2,1,0,0,2.53572813591237,0.365182979538852,0.956586450511417,81.6867811167722,6.70663381448306,470.711454860274,0.0589165760969494,-0.383360329773396,114.083,0,2
Polymer_100,CCN(CC)CCNC,9,2,1,0,0,2.47320366867221,0.353079734664075,0.95365764152453,83.5861252032796,6.89815484639372,497.298903134299,0.121920607250371,-0.318479075767923,112.091,1,2
